id;start_date;end_date;language
1;2022-01-29T03:19:39;2022-01-29T01:09:54;ENGLISH
2;2022-01-28T12:47:14;2022-01-28T22:12:43;FRENCH
3;2022-01-28T22:43:26;2022-01-28T10:48:34;SPANISH
4;2022-01-29T03:14:15;2022-01-28T08:40:34;FRENCH
5;2022-01-29T05:30:38;2022-01-28T13:49:36;ENGLISH
6;2022-01-28T15:01:21;2022-01-29T05:01:41;SPANISH
7;2022-01-28T23:05:09;2022-01-28T09:39:18;FRENCH
8;2022-01-28T13:31:02;2022-01-28T10:06:51;FRENCH
9;2022-01-28T14:22:40;2022-01-29T01:54:06;FRENCH
10;2022-01-28T10:19:38;2022-01-29T03:17:07;FRENCH
